mode,load,0_efficientnet_b6-2,1_resnet152-4,2_squeezenet1_1-4
mps-uncap,0.8,112.49808144196413,286.4748026559158,1898.0248703198622
mps-uncap,0.9,113.39834885728155,291.18948130790176,2102.630761272782
mps-uncap,1.0,112.21708505370628,291.3740593305833,2148.8529009971376
mps-uncap,0.5,81.85019173081831,195.91894126232606,1208.7039522239945
mps-uncap,0.6,97.97575150583096,231.07335066439583,1411.1888503884868
mps-uncap,0.7,111.54944224123504,270.22793931916897,1674.1423480799888
mps-uncap,0.1,16.47711859374547,39.61408920856919,242.3922747808214
mps-uncap,0.2,30.558473183855103,75.74021589024015,473.33004540470176
mps-uncap,0.3,49.45514585884164,114.06714612687126,716.4327432940424
mps-uncap,0.4,64.94440745521572,154.99500696835455,944.2152409786198
