mode,load,0_efficientnet_b5-4,1_efficientnet_b6-8,2_vgg19-2
mps-uncap,0.8,74.07865047454834,135.36005973815918,24.673938751220703
mps-uncap,0.9,178.9372229576111,184.95040893554688,45.577888488769524
mps-uncap,1.0,664.660925865173,1810.1024341583259,329.0789604187013
mps-uncap,0.5,40.23126602172852,57.970218658447266,10.937111377716063
mps-uncap,0.6,43.82086753845221,63.806676864624016,13.402137756347651
mps-uncap,0.7,53.97111892700192,92.19729900360107,16.818780899047848
mps-uncap,0.1,42.181777954101555,38.96084785461424,4.64186668395996
mps-uncap,0.2,44.37026977539059,43.63707065582275,5.9343481063842765
mps-uncap,0.3,42.10523843765264,44.445734024047866,7.710747718811031
mps-uncap,0.4,41.90871477127075,47.34627008438115,8.812174797058063
