mode,load,0_mobilenet_v3_small-16,1_vgg16-2,2_vgg19-32
mps-uncap,0.8,39.5857572555542,29.42337989807129,101.45745277404784
mps-uncap,0.9,152.33297348022464,81.24256134033203,165.9080982208252
mps-uncap,1.0,2023.9157199859626,110.12294292449951,807.2447776794434
mps-uncap,0.5,6.173849105834961,5.618572235107422,29.480695724487305
mps-uncap,0.6,13.110589981079102,10.87088584899902,33.958721160888665
mps-uncap,0.7,19.096040725708008,14.334201812744144,50.71687698364258
mps-uncap,0.1,0.07021427154541016,0.06866455078125,4.588127136230469
mps-uncap,0.2,0.06890296936035156,0.07104873657226562,8.48979949951175
mps-uncap,0.3,1.1371374130249052,0.06947517395019534,15.550494194030762
mps-uncap,0.4,3.461599349975586,1.8454074859619138,21.00768089294436
