mode,load,0_mobilenet_v3_small-16,1_vgg16-2,2_vgg19-32
mps-uncap,0.8,24.533038139343258,20.571618080139164,25.34106254577637
mps-uncap,0.9,24.71298217773438,21.561193466186523,25.286436080932617
mps-uncap,1.0,25.083987712860107,20.719933509826667,25.600528717041016
mps-uncap,0.5,22.462642192840573,19.76399421691894,24.12562370300293
mps-uncap,0.6,23.26539993286133,19.81206893920899,24.500958919525146
mps-uncap,0.7,23.855724334716797,20.164012908935547,24.91178512573242
mps-uncap,0.1,18.615472316741943,17.847800254821777,21.88587188720703
mps-uncap,0.2,19.027411937713623,18.60554218292236,22.259998321533203
mps-uncap,0.3,20.127453804016096,18.470096588134762,22.69500494003296
mps-uncap,0.4,21.425724029541016,19.41879749298096,23.582615852355957
