mode,load,0_mobilenet_v3_small-16,1_vgg16-2,2_vgg19-32
mps-uncap,0.8,633.0950078829227,122.07040117537272,1060.2106161350423
mps-uncap,0.9,745.4722252623632,128.73339744676144,1123.8700434610573
mps-uncap,1.0,867.3130878989249,146.9024820786284,1254.0055563246142
mps-uncap,0.5,397.7177775517942,72.47983843099098,656.4525336943454
mps-uncap,0.6,493.0037163596981,89.31394686413283,753.8345014580494
mps-uncap,0.7,556.7584570744807,99.64508848255804,904.7598523588505
mps-uncap,0.1,77.40378905999977,13.741205492930312,136.50862167133795
mps-uncap,0.2,162.094433346115,27.945534233020606,244.2268598200733
mps-uncap,0.3,242.15487299630436,43.17818492908076,359.8409191800108
mps-uncap,0.4,341.3893918382125,58.46627427451819,497.3698781249895
