mode,load,0_mobilenet_v3_small-16,1_vgg16-2,2_vgg19-32
mps-uncap,0.8,25.175809860229492,21.980762481689453,27.07648277282715
mps-uncap,0.9,25.848865509033203,22.036314010620117,27.657270431518555
mps-uncap,1.0,26.15809440612793,22.133350372314453,26.538848876953125
mps-uncap,0.5,24.48248863220215,21.240234375,24.740934371948242
mps-uncap,0.6,24.58500862121582,21.05998992919922,25.234222412109375
mps-uncap,0.7,24.60455894470215,21.41427993774414,25.578975677490234
mps-uncap,0.1,21.019697189331055,20.009279251098633,22.35698699951172
mps-uncap,0.2,21.94046974182129,19.454240798950195,23.50759506225586
mps-uncap,0.3,22.479534149169922,20.2639102935791,24.09195899963379
mps-uncap,0.4,23.119688034057617,20.63775062561035,24.312257766723633
