mode,load,0_mobilenet_v3_small-16,1_vgg16-2,2_vgg19-32
mps-uncap,0.8,56.663799285888686,41.208529472351074,125.63157081604001
mps-uncap,0.9,172.30796813964844,93.86897087097168,189.94569778442383
mps-uncap,1.0,2040.0003910064709,122.54898548126219,832.2508335113525
mps-uncap,0.5,20.840048789978027,17.78388023376465,52.36682891845705
mps-uncap,0.6,24.641609191894535,19.78914737701416,56.9080114364624
mps-uncap,0.7,33.2326889038086,24.28879737854005,74.04494285583496
mps-uncap,0.1,6.783127784729004,2.5511980056762695,24.874448776245117
mps-uncap,0.2,11.067867279052734,10.93602180480957,29.403686523437504
mps-uncap,0.3,14.395833015441896,13.076305389404308,36.36372089385986
mps-uncap,0.4,17.6694393157959,15.95034599304199,43.391084671020515
