mode,load,0_resnet34-16,1_resnet50-4,2_vgg11-32
mps-uncap,0.8,27.632951736450195,24.857282638549805,13.204813003540039
mps-uncap,0.9,28.45001220703125,25.201082229614258,13.709545135498047
mps-uncap,1.0,26.637792587280273,30.885696411132812,13.922929763793945
mps-uncap,0.5,24.579763412475586,27.875661849975586,13.190984725952148
mps-uncap,0.6,27.869701385498047,27.54044532775879,13.703107833862305
mps-uncap,0.7,24.606943130493164,29.67095375061035,12.963533401489258
mps-uncap,0.1,13.839960098266602,16.198396682739258,11.59214973449707
mps-uncap,0.2,18.49532127380371,19.753217697143555,11.950016021728516
mps-uncap,0.3,22.357463836669922,21.437406539916992,12.054681777954102
mps-uncap,0.4,23.98681640625,23.769378662109375,12.608051300048828
