mode,load,0_densenet169-2,1_efficientnet_b7-4,2_resnet34-32
mps-uncap,0.8,88.0157004328597,110.43684450445511,2961.4091257707964
mps-uncap,0.9,103.64577108800141,120.8190215892931,3303.5752699446853
mps-uncap,1.0,109.60884554940438,141.19698574838185,3661.319917663364
mps-uncap,0.5,53.889252601614125,72.12442718852687,1834.1774470542712
mps-uncap,0.6,66.34396443810756,85.51062409399889,2137.797973949232
mps-uncap,0.7,80.41441372620626,97.30183797466547,2586.335465465327
mps-uncap,0.1,11.983486735241888,14.145973237102003,368.0706713422991
mps-uncap,0.2,22.679967548504806,27.897303908379953,712.6561466044136
mps-uncap,0.3,35.15777122861612,40.73721817664178,1092.3719193593804
mps-uncap,0.4,44.99985076640567,54.98217016285684,1443.3215408226165
