mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.8,266.5879726409912,112.7622127532959,43.96414756774902
mps-uncap,0.9,769.3893909454346,121.94418907165527,125.58484077453613
mps-uncap,1.0,1394.911527633667,541.1415100097656,351.58562660217285
mps-uncap,0.5,149.6264934539795,64.38088417053223,27.89163589477539
mps-uncap,0.6,160.6431007385254,40.02523422241211,26.095151901245117
mps-uncap,0.7,209.9308967590332,85.92557907104492,38.88392448425293
mps-uncap,0.1,54.910898208618164,15.540838241577148,16.9985294342041
mps-uncap,0.2,93.4450626373291,27.205705642700195,20.67852020263672
mps-uncap,0.3,90.08550643920898,28.30815315246582,28.476953506469727
mps-uncap,0.4,112.9298210144043,31.279325485229492,30.613183975219727
