mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.8,347.6096156381693,1789.0967041911454,1064.052496325421
mps-uncap,0.9,371.6725176142756,1972.271392011317,1204.2104983128304
mps-uncap,1.0,416.61632120407745,2258.873859573094,1375.1116840509128
mps-uncap,0.5,215.76741932268195,1123.459966871918,667.927086917099
mps-uncap,0.6,256.94476369155996,1305.7434208479651,806.7222957455327
mps-uncap,0.7,301.7547333312987,1542.4871114233936,944.1669022476648
mps-uncap,0.1,46.266789484371515,230.17276798492074,133.2724530383648
mps-uncap,0.2,94.90662298599949,440.07323221510785,260.9932205650496
mps-uncap,0.3,130.11441828689328,669.1037206524318,404.9403675411836
mps-uncap,0.4,178.3651162851122,852.2915328772892,541.4568323387106
