mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.8,36.85710906982421,11.314802169799803,8.330409526824951
mps-uncap,0.9,37.24771499633789,10.895419120788574,9.175167083740234
mps-uncap,1.0,37.602477073669434,10.98085880279541,9.335041046142578
mps-uncap,0.5,35.582756996154785,11.116805076599123,8.23052406311035
mps-uncap,0.6,36.304745674133294,11.09170913696289,8.184621334075924
mps-uncap,0.7,36.51643991470337,11.27970218658447,8.278746604919434
mps-uncap,0.1,31.480274200439453,9.83080863952636,7.326812744140624
mps-uncap,0.2,32.679669857025125,10.696868896484375,7.745614051818848
mps-uncap,0.3,34.02693271636963,10.858206748962402,8.067171573638916
mps-uncap,0.4,34.88158226013184,11.081895828247072,8.16463470458985
