mode,load,0_squeezenet1_1-16,1_squeezenet1_1-16,2_squeezenet1_1-16,3_squeezenet1_1-16
mig,0.1,280.5396490633867,299.7517636822645,293.25001001729765,151.27997672111323
mig,0.2,576.0449656209134,546.2629748644873,584.5089035863243,302.17424582117656
mig,0.3,868.1450280402883,884.1035507944478,877.3721101447302,436.41153713558657
mig,0.4,1122.5781644887863,1129.41229822505,1129.8973405021388,595.2556736934546
mig,0.5,1419.055826784692,1454.7450274369955,1423.4107626541902,775.8567283457875
mig,0.6,1724.1240689610245,1745.9463084211113,1705.076443100146,907.1478174081476
mig,0.7,2081.062340473949,1971.496584637977,2025.2183592967444,1086.3716718923597
mig,0.8,2346.256875557619,2309.6194280863324,2299.336124644889,1202.2112427906031
mig,0.9,2560.183639525313,2543.491704824048,2530.2297902008922,1380.2115847613811
mig,1.0,2569.276866053057,2555.418086683422,2539.546423700235,1381.999655610265
