mode,load,0_densenet161-32,1_densenet161-32,2_densenet161-32,3_densenet161-32
mig,0.1,93.40691566467285,93.8100814819336,93.81961822509766,183.16173553466797
mig,0.2,93.40691566467285,93.77074241638184,93.82081031799316,183.14647674560547
mig,0.3,93.37830543518066,93.77479553222656,93.7962532043457,183.21633338928223
mig,0.4,93.36709976196289,93.74523162841797,93.79100799560547,183.19249153137207
mig,0.5,93.38092803955078,93.74165534973145,93.75882148742676,183.19153785705566
mig,0.6,93.36233139038086,93.75905990600586,93.77598762512207,183.2435131072998
mig,0.7,93.3692455291748,93.72758865356445,93.78862380981445,183.23063850402832
mig,0.8,93.38140487670898,93.77336502075195,93.7812328338623,183.24995040893555
mig,0.9,93.42837333679199,93.80555152893066,93.80364418029785,183.26687812805176
mig,1.0,93.45507621765137,93.86515617370605,93.91164779663086,183.48407745361328
