mode,load,0_densenet161-32,1_densenet161-32,2_densenet161-32,3_densenet161-32
mig,0.1,37.93054484696687,32.04104149232328,38.12237141853372,23.91111199457669
mig,0.2,67.9567553697979,70.37261296081567,69.79946018283947,36.844769987694654
mig,0.3,102.39491826387625,104.92746790779327,92.02659214113943,56.3319851593303
mig,0.4,127.52892442702844,121.91928395156698,136.87809353831045,64.33289300185061
mig,0.5,159.9649379015976,180.82888882058677,180.10220949550805,84.49053091602127
mig,0.6,188.27303618735866,215.81066071897172,207.09686008055107,101.22066774912442
mig,0.7,232.50505386931852,243.46349477635843,241.39875643365386,135.33732709712368
mig,0.8,273.5251266312135,265.18603498122013,255.4325556032283,138.70611873923005
mig,0.9,293.4342903638319,292.61744715702224,304.8926181712999,164.76176545836125
mig,1.0,330.554950343974,321.00569360094505,321.6657475274979,172.74020756622826
