mode,load,0_alexnet-16,1_resnet50-2,2_squeezenet1_0-16
mps-uncap,0.1,4.103183746337891,18.404722213745117,11.03973388671875
mps-uncap,0.2,6.423711776733398,19.737720489501953,16.73412322998047
mps-uncap,0.3,6.786346435546875,33.75244140625,10.631084442138672
mps-uncap,0.4,9.238958358764648,32.71675109863281,15.107870101928711
mps-uncap,0.5,22.692441940307617,35.7668399810791,20.406484603881836
mps-uncap,0.6,43.57790946960449,33.39862823486328,23.640155792236328
mps-uncap,0.7,32.892704010009766,37.29367256164551,34.937381744384766
mps-uncap,0.8,254.49013710021973,83.33492279052734,57.99412727355957
mps-uncap,0.9,438.2972717285156,97.29743003845215,185.45174598693848
mps-uncap,1.0,653.1031131744385,206.42757415771484,359.24363136291504
mps-uncap,1.1,49271.14129066467,116.28484725952148,8232.86771774292
mps-uncap,1.2,24404.380798339844,9360.338687896729,17588.114976882935
mps-uncap,1.3,31463.26971054077,19443.827629089355,26946.803331375122
mps-uncap,1.4,36506.561279296875,25787.067890167236,31769.559144973755
mps-uncap,1.5,42334.946632385254,31845.391750335693,38251.866579055786
ts,0.1,6.386518478393555,19.37413215637207,15.06948471069336
ts,0.2,9.982109069824219,11.785268783569336,14.812946319580078
ts,0.3,8.16035270690918,43.707847595214844,13.889074325561523
ts,0.4,13.22031021118164,33.25080871582031,22.0186710357666
ts,0.5,33.20908546447754,39.19839859008789,44.46148872375488
ts,0.6,34.29698944091797,32.68623352050781,54.558515548706055
ts,0.7,73.09889793395996,65.2313232421875,317.87943840026855
ts,0.8,608.2181930541992,72.23320007324219,302.4933338165283
ts,0.9,22167.943954467773,135.7097625732422,13136.868000030518
ts,1.0,34381.147384643555,149.51133728027344,27182.410955429077
ts,1.1,44965.882539749146,343.94049644470215,39903.90133857727
ts,1.2,52697.354555130005,5611.021518707275,46469.12217140198
ts,1.3,58784.3816280365,13760.181903839111,53015.04564285278
ts,1.4,61275.559425354004,21494.117736816406,57224.23315048218
ts,1.5,66751.62410736084,29137.749910354614,61558.13217163086
mig,0.1,4.644870758056641,23.58412742614746,24.424076080322266
mig,0.2,6.572246551513672,21.39878273010254,40.80319404602051
mig,0.3,11.812210083007812,28.33867073059082,61.24162673950195
mig,0.4,14.494895935058594,31.975984573364258,86.79008483886719
mig,0.5,20.352840423583984,14.856576919555664,234.23075675964355
mig,0.6,29.88409996032715,36.64755821228027,7666.651010513306
mig,0.7,54.9314022064209,32.67717361450195,23683.97331237793
mig,0.8,195.93334197998047,45.72701454162598,35197.455644607544
mig,0.9,334.8252773284912,27.13942527770996,44798.16174507141
mig,1.0,575.7734775543213,45.5927848815918,52967.71335601807
mig,1.1,9879.368305206299,35.89820861816406,59227.58173942566
mig,1.2,16503.852128982544,44.042110443115234,63345.8514213562
mig,1.3,27599.34401512146,41.31817817687988,68535.73870658875
mig,1.4,33458.90307426453,72.87001609802246,72983.6597442627
mig,1.5,39424.636363983154,78.60755920410156,75781.6526889801
