mode,load,0_alexnet-16,1_resnet50-2,2_squeezenet1_0-16
ts,0.1,592.4908563056192,21.99202973677451,289.6932002652978
ts,0.2,1178.703039151639,44.96042399123728,562.7676342723532
ts,0.3,1799.3527265098237,67.14647280955175,828.700753909174
ts,0.4,2369.7301567848035,89.98393526225202,1117.4731697207096
ts,0.5,3017.938042065952,113.97622397803167,1383.274718890966
ts,0.6,3534.549048235988,134.65702130112672,1669.2148160614352
ts,0.7,4106.707272615703,159.06067113936382,1928.6683036672875
ts,0.8,4750.459500761745,179.27931389676345,2235.168788638775
ts,0.9,4466.8184650944095,203.95004325100783,2232.5764952679715
ts,1.0,4249.258252592472,221.25936894114122,2143.421948933766
ts,1.1,4138.944300375149,245.42163251210846,2068.9136463034342
ts,1.2,4044.2318358979455,254.68830903096668,2037.6173878101563
ts,1.3,4081.3566352523553,254.79747028937135,2037.5067016150613
ts,1.4,4108.3419398922115,256.722716722451,2054.0449383123214
ts,1.5,4110.173340568885,256.67861076590714,2053.3288605972666
mps-uncap,0.1,585.2970155112752,22.89697099496706,282.5079840912089
mps-uncap,0.2,1226.2022845758288,45.30053608316934,579.6590178865941
mps-uncap,0.3,1791.3685772554384,70.20689783521271,835.5899937026272
mps-uncap,0.4,2401.8374154004396,89.27226116577107,1124.8438458537985
mps-uncap,0.5,2969.5072563952945,114.80401085876214,1388.2468429472303
mps-uncap,0.6,3588.492783370839,134.5992239774268,1652.8822879958996
mps-uncap,0.7,4097.592187560257,157.3856549318674,1942.4617457769123
mps-uncap,0.8,4620.328529549131,176.15208824712178,2205.598813269105
mps-uncap,0.9,5331.279476895514,201.91391575883202,2494.058273601976
mps-uncap,1.0,5985.0136791621035,228.41005080097838,2778.655393214329
mps-uncap,1.1,3821.9040136006815,244.93845108999875,2840.709834863033
mps-uncap,1.2,5689.963762402288,246.81408144380958,2846.792060538305
mps-uncap,1.3,5706.12414663836,248.32744917644115,2853.1060720480423
mps-uncap,1.4,5782.05934381849,247.8630816594649,2887.798442004254
mps-uncap,1.5,5694.695807845954,249.1573973906188,2850.494830101751
mig,0.1,618.5021441790088,22.85725196783636,276.197737217267
mig,0.2,1203.7261466628524,45.33055893896598,570.8414634717991
mig,0.3,1808.8443406389395,68.63073119517067,832.3156104199726
mig,0.4,2408.8981358387005,91.40729439175237,1100.4161097903063
mig,0.5,3033.0357429902783,111.4713371519284,1400.6088566711082
mig,0.6,3526.8640303566385,134.20359221685447,1583.6564076165037
mig,0.7,4213.395394478268,156.54219426714775,1581.7876520829532
mig,0.8,4769.975653260605,181.02941083279887,1577.8021294027449
mig,0.9,5188.921728056641,201.85515656528915,1571.3304478776975
mig,1.0,5997.788146987141,223.03451597137442,1562.818374525021
mig,1.1,6095.725366310046,242.42733167333313,1559.559648611522
mig,1.2,6083.336818279792,270.47394222176155,1557.2275511519965
mig,1.3,6065.061901707017,289.2509200344598,1554.3999517168213
mig,1.4,6053.38976289232,318.2756877586056,1552.4364718580985
mig,1.5,6034.549328117201,336.0550403853074,1549.3754474931566
