mode,load,0_efficientnet_b6-16,1_efficientnet_b6-2,2_inception_v3-4
mps-uncap,0.8,521.0022416249606,79.07041220111039,262.8104104580586
mps-uncap,0.9,589.405090787237,92.25076776001725,295.7883636845281
mps-uncap,1.0,654.2402047358478,97.53119817314813,329.58053315008755
mps-uncap,0.5,335.99266240161535,47.24057293276643,161.27300975115855
mps-uncap,0.6,408.2480087304984,57.308819814696164,199.6255288177374
mps-uncap,0.7,440.87741392840417,72.65812882174616,241.7988835372833
mps-uncap,0.1,61.68935430834802,10.744058234604536,34.80560294449593
mps-uncap,0.2,124.56637878046085,19.829942980848497,64.95442610081821
mps-uncap,0.3,198.13039788101062,28.160319132873045,98.72292560939269
mps-uncap,0.4,253.67647566274647,40.37529724332383,133.73291881929129
