mode,load,0_efficientnet_b6-16,1_efficientnet_b6-2,2_inception_v3-4
mps-uncap,0.8,25.042295455932617,23.949384689331055,14.847517013549805
mps-uncap,0.9,25.757551193237305,24.502992630004883,14.646291732788086
mps-uncap,1.0,26.758670806884766,23.072481155395508,15.512228012084961
mps-uncap,0.5,23.932695388793945,24.99699592590332,15.770196914672852
mps-uncap,0.6,24.761676788330078,24.820566177368164,15.911340713500977
mps-uncap,0.7,25.754928588867188,24.899721145629883,14.715433120727539
mps-uncap,0.1,28.119802474975586,28.051137924194336,16.173362731933594
mps-uncap,0.2,27.727365493774414,28.565168380737305,16.362667083740234
mps-uncap,0.3,27.364492416381836,30.739545822143555,16.446828842163086
mps-uncap,0.4,24.617910385131836,24.626731872558594,15.775918960571289
