mode,load,0_efficientnet_b6-16,1_efficientnet_b6-2,2_inception_v3-4
mps-uncap,0.8,119.1776990890503,81.96485042572021,35.31217575073242
mps-uncap,0.9,293.3016777038575,334.31084156036394,57.15124607086183
mps-uncap,1.0,1839.4175052642822,1060.850429534912,517.2955989837648
mps-uncap,0.5,47.64466285705567,31.26394748687744,20.56703567504883
mps-uncap,0.6,59.269905090332045,38.7688159942627,22.507190704345703
mps-uncap,0.7,79.06150817871094,61.84744834899902,25.966286659240726
mps-uncap,0.1,26.401066780090332,27.05154418945313,15.042877197265625
mps-uncap,0.2,30.726480484008793,27.228593826293945,17.523813247680668
mps-uncap,0.3,35.79559326171875,28.638410568237312,19.89161968231201
mps-uncap,0.4,41.91625118255615,30.3297758102417,20.102405548095703
