mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,5.001573562622069,4.736185073852539,4.502511024475098
mps-uncap,0.9,4.940524101257324,4.976992607116699,4.490444660186768
mps-uncap,1.0,5.0269269943237305,5.071401596069336,4.621481895446777
mps-uncap,0.5,4.8276519775390625,4.59254026412964,4.247078895568848
mps-uncap,0.6,4.945719242095949,4.8305273056030265,4.200398921966553
mps-uncap,0.7,4.779577255249023,4.84318733215332,4.375641345977783
mps-uncap,0.1,4.180300235748291,4.00996208190918,3.573441505432131
mps-uncap,0.2,4.368195533752441,4.326927661895749,3.67813110351562
mps-uncap,0.3,4.6309852600097665,4.642388820648193,4.168272018432617
mps-uncap,0.4,4.657940864562988,4.708917140960694,4.217486381530763
