mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,3.9997100830078125,3.700733184814453,2.794027328491211
mps-uncap,0.9,4.308342933654785,4.090309143066406,3.0541419982910156
mps-uncap,1.0,4.720211029052734,4.707813262939453,4.085898399353027
mps-uncap,0.5,3.503084182739258,2.689838409423828,2.5347471237182617
mps-uncap,0.6,3.5878419876098633,2.707242965698242,2.528667449951172
mps-uncap,0.7,3.801584243774414,3.1964778900146484,2.555251121520996
mps-uncap,0.1,3.031611442565918,2.7196407318115234,2.6009082794189453
mps-uncap,0.2,3.039121627807617,2.6369094848632812,2.481698989868164
mps-uncap,0.3,3.032684326171875,2.6694536209106445,2.443671226501465
mps-uncap,0.4,3.220796585083008,2.67946720123291,2.460002899169922
