mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,4.800891876220703,4.576444625854492,4.144191741943359
mps-uncap,0.9,4.774808883666992,4.814624786376953,4.1980743408203125
mps-uncap,1.0,4.858732223510742,4.921436309814453,4.375934600830078
mps-uncap,0.5,4.472970962524414,4.035401344299317,3.4049987792968754
mps-uncap,0.6,4.657745361328125,4.448890686035156,3.5229921340942383
mps-uncap,0.7,4.599380493164062,4.618644714355469,3.9755582809448233
mps-uncap,0.1,3.530025482177735,3.078937530517578,3.0035972595214844
mps-uncap,0.2,3.8341760635375977,3.417849540710449,2.9404163360595703
mps-uncap,0.3,4.019927978515625,3.7584543228149414,3.083348274230957
mps-uncap,0.4,4.110240936279296,3.9453268051147465,3.2565116882324223
