mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,2.9404163360595703,2.026796340942383,1.3208389282226562
mps-uncap,0.9,2.9535293579101562,2.025127410888672,1.3120174407958984
mps-uncap,1.0,2.9478073120117188,2.0427703857421875,1.3241767883300781
mps-uncap,0.5,2.947568893432617,2.0411014556884766,1.3148784637451172
mps-uncap,0.6,2.960681915283203,2.029895782470703,1.3234615325927734
mps-uncap,0.7,2.941608428955078,2.039670944213867,1.3077259063720703
mps-uncap,0.1,2.946138381958008,2.0279884338378906,1.3155937194824219
mps-uncap,0.2,2.9616355895996094,2.0394325256347656,1.3206005096435547
mps-uncap,0.3,2.9401779174804688,2.0270347595214844,1.310110092163086
mps-uncap,0.4,2.9468536376953125,2.026796340942383,1.325368881225586
