mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,73.60053062438965,39.3223762512207,32.13787078857422
mps-uncap,0.9,81.10547065734863,82.65542984008789,50.88448524475098
mps-uncap,1.0,288.3145809173584,353.09338569641113,276.31568908691406
mps-uncap,0.5,21.105527877807617,17.44222640991211,12.853622436523438
mps-uncap,0.6,27.76360511779785,29.458284378051758,20.415782928466797
mps-uncap,0.7,43.050527572631836,30.434608459472656,24.357318878173828
mps-uncap,0.1,6.965398788452148,6.787300109863281,5.821466445922852
mps-uncap,0.2,9.52768325805664,10.952234268188477,8.314132690429688
mps-uncap,0.3,12.122631072998047,9.92727279663086,8.898258209228516
mps-uncap,0.4,17.564058303833008,12.285947799682617,10.75887680053711
