mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,5.796194076538086,5.867719650268555,4.963397979736328
mps-uncap,0.9,5.874156951904297,5.492448806762695,5.430936813354492
mps-uncap,1.0,5.866527557373047,5.927801132202148,5.558967590332031
mps-uncap,0.5,5.298614501953125,4.747152328491211,4.640817642211914
mps-uncap,0.6,5.755901336669922,5.234479904174805,4.504680633544922
mps-uncap,0.7,5.219697952270508,5.576610565185547,4.805088043212891
mps-uncap,0.1,4.759311676025391,4.822015762329102,4.575967788696289
mps-uncap,0.2,4.826545715332031,4.889965057373047,4.46772575378418
mps-uncap,0.3,4.848480224609375,5.55419921875,4.603147506713867
mps-uncap,0.4,4.817485809326172,4.92095947265625,5.261659622192383
