mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,33.85503768920896,23.586034774780273,20.012092590332045
mps-uncap,0.9,43.30826044082651,46.01345539093021,26.544981002807603
mps-uncap,1.0,247.09799766540522,298.78124713897705,251.32671594619754
mps-uncap,0.5,12.022590637207031,9.781508445739759,8.637728691101074
mps-uncap,0.6,15.357797145843513,12.617397308349606,9.551644325256348
mps-uncap,0.7,22.87270545959472,17.57962703704832,12.925052642822271
mps-uncap,0.1,5.938117504119881,5.357503890991211,4.723262786865236
mps-uncap,0.2,6.688756942749022,5.74884414672849,5.224084854125973
mps-uncap,0.3,7.890357971191411,7.065293788909912,6.153523921966553
mps-uncap,0.4,10.007362365722653,8.205318450927738,6.835031509399416
