mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,2.3970603942871094,0.9133815765380859,0.540614128112793
mps-uncap,0.9,4.079461097717285,3.1163692474365234,1.7151832580566406
mps-uncap,1.0,65.80805778503418,52.13785171508789,17.969250679016113
mps-uncap,0.5,0.0457763671875,0.04458427429199219,0.04363059997558594
mps-uncap,0.6,0.04553794860839844,0.04315376281738281,0.04291534423828125
mps-uncap,0.7,0.8378028869628906,0.04696846008300781,0.0438690185546875
mps-uncap,0.1,0.05078315734863281,0.049591064453125,0.04863739013671875
mps-uncap,0.2,0.04482269287109375,0.04458427429199219,0.044345855712890625
mps-uncap,0.3,0.04458427429199219,0.04506111145019531,0.04267692565917969
mps-uncap,0.4,0.04506111145019531,0.044345855712890625,0.040531158447265625
