mode,load,0_squeezenet1_0-16,1_squeezenet1_1-16,2_squeezenet1_1-8
mps-uncap,0.8,2570.5069173159814,2611.2247032778105,1545.1752391132268
mps-uncap,0.9,2921.1253247975847,2987.6629689758165,1703.556293960668
mps-uncap,1.0,3307.607182110654,3326.87838711558,1948.4212792098897
mps-uncap,0.5,1579.7797520470076,1667.1259098871224,968.0880683790259
mps-uncap,0.6,1937.3279697617797,2030.3275942726511,1158.004963917125
mps-uncap,0.7,2306.374530527691,2352.8415640155145,1344.5986390918379
mps-uncap,0.1,337.7168472012197,343.0797030844044,188.6339719945189
mps-uncap,0.2,650.3028691227156,659.0890319787537,384.3737787319901
mps-uncap,0.3,958.7651381715955,1018.9092468251421,579.1375230429495
mps-uncap,0.4,1311.1344745977374,1322.3878631846403,757.0331931884991
