mode,load,0_densenet121-16,1_efficientnet_b6-4,2_efficientnet_b7-32
mps-uncap,0.8,81.51912689208984,115.20028114318877,205.1897048950196
mps-uncap,0.9,217.0015811920166,223.7435817718506,461.1702919006348
mps-uncap,1.0,1743.4098482131958,1153.110599517822,1465.3039455413818
mps-uncap,0.5,42.572069168090835,48.71344566345216,112.12801933288574
mps-uncap,0.6,55.46729564666748,72.00193405151367,151.50225162506104
mps-uncap,0.7,73.14994335174553,94.59495544433594,211.96241378784185
mps-uncap,0.1,17.61465072631836,32.14995861053467,67.762041091919
mps-uncap,0.2,30.762672424316406,35.202693939209,58.69157314300537
mps-uncap,0.3,35.195040702819824,39.22040462493897,89.80379104614262
mps-uncap,0.4,37.87713050842285,45.09902000427247,105.34782409667969
