mode,load,0_densenet121-16,1_efficientnet_b6-4,2_efficientnet_b7-32
mps-uncap,0.8,38.964295387268066,48.638010025024414,64.74413871765137
mps-uncap,0.9,41.09063148498535,47.62749671936036,65.43142795562744
mps-uncap,1.0,41.713500022888184,48.27589988708496,66.13812446594238
mps-uncap,0.5,36.24567985534668,42.68941879272462,59.772682189941406
mps-uncap,0.6,37.63840198516846,46.41914367675781,62.68501281738281
mps-uncap,0.7,38.4028434753418,47.85299301147461,64.15426731109619
mps-uncap,0.1,17.466354370117188,25.532174110412598,52.12440490722656
mps-uncap,0.2,29.037952423095703,33.78598690032959,54.28576469421387
mps-uncap,0.3,30.511426925659187,37.36789226531983,57.18889236450195
mps-uncap,0.4,34.765386581420906,42.02594757080078,58.745479583740234
