mode,load,0_densenet121-16,1_efficientnet_b6-4,2_efficientnet_b7-32
mps-uncap,0.8,42.54293441772461,55.4347038269043,66.20430946350098
mps-uncap,0.9,45.223236083984375,53.08818817138672,67.45028495788574
mps-uncap,1.0,45.18628120422363,52.94680595397949,68.61186027526855
mps-uncap,0.5,41.4278507232666,53.9553165435791,65.28949737548828
mps-uncap,0.6,42.02151298522949,55.03988265991211,65.90723991394043
mps-uncap,0.7,41.48221015930176,53.36284637451172,66.01667404174805
mps-uncap,0.1,44.79265213012695,50.8115291595459,59.03887748718262
mps-uncap,0.2,43.61224174499512,48.74992370605469,59.815406799316406
mps-uncap,0.3,42.7398681640625,49.96085166931152,64.46290016174316
mps-uncap,0.4,40.40098190307617,52.90341377258301,65.23013114929199
