mode,load,0_densenet121-16,1_efficientnet_b6-4,2_efficientnet_b7-32
mps-uncap,0.8,326.0801644441257,75.01318008995922,383.8943586321866
mps-uncap,0.9,371.4083748240894,79.91911352977961,437.8047082214202
mps-uncap,1.0,432.57501564756336,89.57000077974303,479.0594761026785
mps-uncap,0.5,215.10285684180218,46.01300463413149,236.8018691871231
mps-uncap,0.6,265.3000573840398,54.51442973553053,297.3873204504248
mps-uncap,0.7,319.62243344428913,61.09942225217572,356.6033903112674
mps-uncap,0.1,43.69538174731338,6.700105231541035,50.499359638403945
mps-uncap,0.2,83.27437438830765,16.47693684145988,100.65069890140151
mps-uncap,0.3,135.79766567502617,25.483318834831046,145.84995133424354
mps-uncap,0.4,181.16160680562555,34.890858609732014,188.36990800495266
