mode,load,0_efficientnet_b6-16,1_mobilenet_v3_small-8,2_resnet152-2
mps-uncap,0.8,528.6734519112887,1500.9478352757922,94.6264872384378
mps-uncap,0.9,594.6617779299899,1460.895506947271,99.49947110327953
mps-uncap,1.0,626.0789862169838,1433.650092926759,97.60450057239491
mps-uncap,0.5,325.27461666577784,975.7436559290129,57.07403260041498
mps-uncap,0.6,384.9097178212627,1150.8117711267037,68.44272140458514
mps-uncap,0.7,459.70475668088733,1371.516010342274,80.50465684328348
mps-uncap,0.1,61.444513385326616,202.32128270161795,12.655487475681843
mps-uncap,0.2,132.1648416573943,394.2895964407103,23.374725170042048
mps-uncap,0.3,207.39972411935307,580.4834890793637,35.202846774265986
mps-uncap,0.4,267.6386301701202,806.8520846278417,45.77685776406568
