mode,load,0_efficientnet_b6-16,1_mobilenet_v3_small-8,2_resnet152-2
mps-uncap,0.8,21.96788787841797,4.2209625244140625,13.263463973999023
mps-uncap,0.9,23.099660873413086,4.122734069824219,13.275623321533203
mps-uncap,1.0,23.88286590576172,4.26936149597168,13.497352600097656
mps-uncap,0.5,20.931482315063477,4.075765609741211,13.313055038452148
mps-uncap,0.6,20.614147186279297,4.098176956176758,13.364076614379883
mps-uncap,0.7,21.401643753051758,4.065990447998047,13.129472732543945
mps-uncap,0.1,21.473407745361328,4.8618316650390625,13.337135314941406
mps-uncap,0.2,20.838499069213867,4.1046142578125,13.384103775024414
mps-uncap,0.3,20.631790161132812,4.06193733215332,13.16976547241211
mps-uncap,0.4,20.885705947875977,4.077434539794922,13.479471206665039
