mode,load,0_efficientnet_b6-16,1_mobilenet_v3_small-8,2_resnet152-2
mps-uncap,0.8,27.4347448348999,9.758157730102539,23.508119583129883
mps-uncap,0.9,27.312755584716797,9.659171104431156,23.366050720214844
mps-uncap,1.0,27.58705139160157,9.661810398101807,23.240928649902347
mps-uncap,0.5,27.004811763763428,9.54127311706543,23.227834701538086
mps-uncap,0.6,30.221638679504395,9.09933090209961,19.537048339843746
mps-uncap,0.7,27.17940330505371,9.685747623443604,23.675017356872566
mps-uncap,0.1,38.59515190124512,10.01150608062744,30.697009563446045
mps-uncap,0.2,31.63496971130371,9.602689743041992,25.705795288085938
mps-uncap,0.3,28.906922340393066,9.33192253112793,23.45692634582519
mps-uncap,0.4,26.571953296661377,9.504728317260742,23.197917938232422
