mode,load,0_mobilenet_v3_large-8,1_vgg11-32,2_vgg16-4
mps-uncap,0.8,2.7685165405273438,9.849786758422852,2.8831958770751953
mps-uncap,0.9,2.815723419189453,9.87863540649414,2.8839111328125
mps-uncap,1.0,2.7163028717041016,9.929418563842773,2.910137176513672
mps-uncap,0.5,2.832651138305664,9.82666015625,2.8634071350097656
mps-uncap,0.6,2.8390884399414062,9.843111038208008,2.875089645385742
mps-uncap,0.7,2.7244091033935547,9.838104248046875,2.859830856323242
mps-uncap,0.1,2.938508987426758,9.814262390136719,2.8553009033203125
mps-uncap,0.2,2.9916763305664062,9.821891784667969,2.8717517852783203
mps-uncap,0.3,2.8870105743408203,9.82666015625,2.8684139251708984
mps-uncap,0.4,2.8269290924072266,9.80830192565918,2.8641223907470703
