mode,load,0_mobilenet_v3_large-8,1_vgg11-32,2_vgg16-4
mps-uncap,0.8,93.81272077560425,93.42199563980103,58.25865268707279
mps-uncap,0.9,117.56912469863892,156.6216421127318,124.57767963409422
mps-uncap,1.0,920.4170227050788,606.3249111175537,425.5832433700563
mps-uncap,0.5,30.476341247558576,38.80692958831788,23.592019081115733
mps-uncap,0.6,32.77472496032714,43.67373466491699,30.163211822509762
mps-uncap,0.7,47.95380592346183,56.93905353546143,43.86019706726073
mps-uncap,0.1,13.069522380828856,19.135117530822754,11.653525829315194
mps-uncap,0.2,16.32467508316042,20.768094062805172,11.925795078277588
mps-uncap,0.3,19.72959041595457,31.263370513916005,14.112038612365659
mps-uncap,0.4,24.174032211303714,31.754884719848622,18.460330963134783
