mode,load,0_mobilenet_v3_large-8,1_vgg11-32,2_vgg16-4
mps-uncap,0.8,295.3181058490193,1952.8752692637877,239.8993430907049
mps-uncap,0.9,322.9236992332965,2169.8097585367536,262.08939006099513
mps-uncap,1.0,368.0689543044218,2385.279356606443,302.21354313704256
mps-uncap,0.5,185.13851477428457,1206.8572932687894,149.43505707293505
mps-uncap,0.6,223.52578262662885,1415.781196740281,181.68063346738472
mps-uncap,0.7,261.34003403515874,1595.9927676912173,216.12040995769024
mps-uncap,0.1,38.996999724883416,246.35314752999798,28.80757073660934
mps-uncap,0.2,75.16411777647369,449.3784243357488,56.691235911581316
mps-uncap,0.3,116.89744197601497,697.8312846859812,86.95936379028748
mps-uncap,0.4,142.24183430304612,970.1606852990516,120.75424782429145
