mode,load,0_efficientnet_b5-2,1_mobilenet_v3_large-32,2_resnet101-8
mps-uncap,0.8,88.35004217604387,3515.745082565673,461.06955781768295
mps-uncap,0.9,96.51795876688594,3978.1126741742337,530.8516280589909
mps-uncap,1.0,107.58921163289232,4410.184295042029,578.8331318728553
mps-uncap,0.5,52.46094824536922,2181.3034288238946,282.2482018303513
mps-uncap,0.6,64.05100870155182,2625.951159189768,343.3058613274987
mps-uncap,0.7,76.11595451071918,3085.7570846501867,404.0005148390784
mps-uncap,0.1,10.465986760727056,424.97387058065823,62.47975809425037
mps-uncap,0.2,21.574925525567483,902.969243179624,115.94981592743548
mps-uncap,0.3,31.148447429100766,1324.355849117525,173.27845872396986
mps-uncap,0.4,42.631504350604175,1796.7285568931668,233.48553037102243
