mode,load,0_efficientnet_b5-2,1_mobilenet_v3_large-32,2_resnet101-8
mps-uncap,0.8,54.301042556762695,45.104551315307695,50.32145500183094
mps-uncap,0.9,302.2451066970823,66.37491941452029,281.47714138031006
mps-uncap,1.0,671.9977498054506,214.20712232589744,951.8996477127076
mps-uncap,0.5,27.382535934448246,16.57193899154663,22.063016891479503
mps-uncap,0.6,35.192389488220236,19.533557891845707,27.130103111267083
mps-uncap,0.7,37.50418663024902,27.870173454284657,43.72541427612306
mps-uncap,0.1,18.783679008483894,6.825685501098634,11.529097557067873
mps-uncap,0.2,25.796356201171854,10.539231300353997,14.955909252166732
mps-uncap,0.3,24.45011138916016,12.250003814697257,18.867313861846924
mps-uncap,0.4,28.441143035888672,16.712713241577173,25.028023719787605
