mode,load,0_efficientnet_b5-2,1_mobilenet_v3_large-32,2_resnet101-8
mps-uncap,0.8,78.53984832763672,81.2983512878418,77.07691192626953
mps-uncap,0.9,367.05613136291504,96.82941436767578,355.5488586425781
mps-uncap,1.0,729.778528213501,267.2712802886963,1072.32666015625
mps-uncap,0.5,42.34719276428223,32.967567443847656,41.10217094421387
mps-uncap,0.6,60.44745445251465,34.39044952392578,43.29657554626465
mps-uncap,0.7,50.179243087768555,42.452096939086914,67.31677055358887
mps-uncap,0.1,23.09894561767578,10.854959487915039,17.34304428100586
mps-uncap,0.2,40.96841812133789,18.187761306762695,23.005008697509766
mps-uncap,0.3,39.78919982910156,24.870872497558594,35.76326370239258
mps-uncap,0.4,47.78027534484863,26.722431182861328,41.483402252197266
