mode,load,0_efficientnet_b5-2,1_mobilenet_v3_large-32,2_resnet101-8
mps-uncap,0.8,17.8138256072998,7.426977157592773,13.456583023071289
mps-uncap,0.9,18.94862651824951,7.3203325271606445,14.529824256896973
mps-uncap,1.0,19.476437568664547,7.505893707275391,14.727640151977539
mps-uncap,0.5,16.572332382202152,7.240176200866699,13.096809387207031
mps-uncap,0.6,16.315364837646484,7.0423126220703125,13.480424880981445
mps-uncap,0.7,16.025209426879883,7.2129249572753915,13.832902908325195
mps-uncap,0.1,23.329687118530273,8.085012435913086,13.588118553161621
mps-uncap,0.2,23.300671577453613,7.620549201965332,13.057565689086914
mps-uncap,0.3,21.447634696960453,7.738494873046875,13.484477996826172
mps-uncap,0.4,17.298460006713867,7.754802703857422,13.393068313598633
