mode,load,0_resnet152-16,1_densenet201-16,2_squeezenet1_0-8
mps-uncap,1.0,33.75587463378906,42.18707084655762,6.56580924987793
mig,1.0,31.30018711090088,46.90451622009277,5.580663681030273
