mode,load,0_efficientnet_b7-16,1_inception_v3-16,2_resnet101-2
mps-uncap,0.8,26.568174362182617,6.428241729736328,4.875421524047852
mps-uncap,0.9,26.652097702026367,6.4258575439453125,5.011320114135742
mps-uncap,1.0,26.889562606811523,6.432056427001953,4.951953887939453
mps-uncap,0.5,26.74412727355957,6.496667861938477,4.991054534912109
mps-uncap,0.6,26.59749984741211,6.431341171264648,4.939556121826172
mps-uncap,0.7,26.588916778564453,6.474971771240234,4.890918731689453
mps-uncap,0.1,26.752948760986328,6.503582000732422,4.994630813598633
mps-uncap,0.2,26.76558494567871,6.503820419311523,4.8675537109375
mps-uncap,0.3,26.746511459350586,6.4983367919921875,4.881381988525391
mps-uncap,0.4,26.72600746154785,6.491899490356445,4.945516586303711
