mode,load,0_efficientnet_b7-16,1_inception_v3-16,2_resnet101-2
mps-uncap,0.8,353.1601635042944,656.8803467059902,99.84898269211064
mps-uncap,0.9,405.68973478397305,777.6723656141514,111.1038158940626
mps-uncap,1.0,432.65405142928876,806.9849817652163,122.71106416946134
mps-uncap,0.5,212.75697477735636,390.99865679679885,60.97209238511539
mps-uncap,0.6,258.8182085106346,502.7490290093082,75.11481311324832
mps-uncap,0.7,309.3981871135477,589.5337656100119,86.64748102373242
mps-uncap,0.1,46.41918884642612,78.43151183495246,12.809375950658563
mps-uncap,0.2,90.98985930875993,154.9784554897548,24.703606626761076
mps-uncap,0.3,134.27444947827843,252.65242128124436,37.53067965144429
mps-uncap,0.4,184.48313386842202,338.0083040761751,47.66174990512603
