mode,load,0_mobilenet_v2-2,1_mobilenet_v2-2
mig,0.1,0.01049041748046875,0.010967254638671875
mig,0.2,0.010013580322265625,0.010251998901367188
mig,0.3,0.008106231689453125,0.008344650268554688
mig,0.4,0.00762939453125,0.008821487426757812
mig,0.5,0.008106231689453125,0.00762939453125
mig,0.6,0.007867813110351562,0.007867813110351562
mig,0.7,0.008344650268554688,0.00762939453125
mig,0.8,0.007867813110351562,0.007867813110351562
mig,0.9,0.007867813110351562,0.007867813110351562
mig,1.0,0.01049041748046875,0.009059906005859375
