mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_resnet50-8
mps-uncap,0.8,29.355049133300742,22.051181793212887,34.25358295440673
mps-uncap,0.9,51.06602907180788,57.392334938049316,67.05440759658813
mps-uncap,1.0,142.34735012054443,132.3231935501099,246.9566631317139
mps-uncap,0.5,11.946568489074698,11.95913553237915,15.246186256408691
mps-uncap,0.6,12.302112579345705,11.577281951904261,16.68806076049805
mps-uncap,0.7,15.439825057983397,14.183998107910156,26.741909980774004
mps-uncap,0.1,10.88247299194336,8.005459308624271,6.690382957458498
mps-uncap,0.2,15.144724845886229,13.277339935302741,11.798706054687415
mps-uncap,0.3,16.745173931121812,13.473904132843016,16.76401138305662
mps-uncap,0.4,13.748064041137692,11.813344955444334,14.713315963745115
