mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_resnet50-8
mps-uncap,0.8,77.14533805847168,33.90979766845703,72.48568534851074
mps-uncap,0.9,73.0431079864502,75.62661170959473,101.44948959350586
mps-uncap,1.0,177.3207187652588,153.14340591430664,274.9805450439453
mps-uncap,0.5,26.554346084594727,21.0573673248291,35.57777404785156
mps-uncap,0.6,28.573274612426758,20.33090591430664,38.31648826599121
mps-uncap,0.7,24.541616439819336,26.45587921142578,48.95305633544922
mps-uncap,0.1,24.43528175354004,23.923397064208984,16.799449920654297
mps-uncap,0.2,27.289390563964844,25.6960391998291,34.78670120239258
mps-uncap,0.3,33.98013114929199,28.382539749145508,42.95849800109863
mps-uncap,0.4,25.730133056640625,27.15134620666504,29.64496612548828
