mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_resnet50-8
mps-uncap,0.8,2.6962757110595703,2.323627471923828,3.8154125213623047
mps-uncap,0.9,2.7251243591308594,2.361774444580078,3.820180892944336
mps-uncap,1.0,2.6788711547851562,2.2640228271484375,3.844738006591797
mps-uncap,0.5,2.732992172241211,2.317190170288086,3.808736801147461
mps-uncap,0.6,2.682209014892578,2.2950172424316406,3.8335323333740234
mps-uncap,0.7,2.716064453125,2.2470951080322266,3.831624984741211
mps-uncap,0.1,2.7213096618652344,2.3336410522460938,3.8101673126220703
mps-uncap,0.2,2.7227401733398438,2.3245811462402344,3.8213729858398438
mps-uncap,0.3,2.681732177734375,2.2935867309570312,3.8187503814697266
mps-uncap,0.4,2.6247501373291016,2.3093223571777344,3.8175582885742188
