mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_resnet50-8
mps-uncap,0.8,979.7072800426994,1179.122247918361,1303.5145723846224
mps-uncap,0.9,1131.917204076491,1303.5136579465545,1472.4076626330802
mps-uncap,1.0,1211.3661895351265,1444.5268902995167,1613.0660438426166
mps-uncap,0.5,613.7002815063045,722.8879535395197,799.6300012553032
mps-uncap,0.6,744.3094105118092,881.1335442184449,963.3541958563252
mps-uncap,0.7,866.0701015453883,1017.8286314330272,1143.6971126373567
mps-uncap,0.1,122.2459607482382,142.64131617984938,160.1871122027737
mps-uncap,0.2,240.07754303358385,295.12825294468706,319.32780591892424
mps-uncap,0.3,379.6534349928779,439.56800737627435,496.79136622608024
mps-uncap,0.4,497.9494491690817,585.9313951343419,658.3970947750284
