mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_resnet50-8
mps-uncap,0.8,2.9420852661132812,2.6047229766845703,4.006624221801758
mps-uncap,0.9,7.690668106079102,7.749319076538086,9.434938430786133
mps-uncap,1.0,27.82583236694336,25.50196647644043,85.31522750854492
mps-uncap,0.5,0.38444995880126953,0.4439353942871094,0.04553794860839844
mps-uncap,0.6,0.7812976837158203,0.7982254028320312,0.8955001831054688
mps-uncap,0.7,1.9004344940185547,1.5418529510498047,2.541065216064453
mps-uncap,0.1,0.04887580871582031,0.04887580871582031,0.051975250244140625
mps-uncap,0.2,0.04780292510986328,0.04792213439941406,0.04935264587402344
mps-uncap,0.3,0.04935264587402344,0.050067901611328125,0.051021575927734375
mps-uncap,0.4,0.2732276916503906,0.2675056457519531,0.04696846008300781
