mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_resnet50-8
mps-uncap,0.8,4.8370361328125,4.1980743408203125,6.160259246826172
mps-uncap,0.9,4.758596420288086,4.183053970336914,6.031036376953125
mps-uncap,1.0,4.501819610595703,4.082441329956055,6.170749664306641
mps-uncap,0.5,7.650852203369141,6.566524505615234,8.195638656616211
mps-uncap,0.6,6.211042404174805,5.57708740234375,7.085084915161133
mps-uncap,0.7,6.348609924316406,5.011558532714844,6.303071975708008
mps-uncap,0.1,9.366989135742188,7.407188415527344,7.814168930053711
mps-uncap,0.2,8.626937866210938,9.61446762084961,8.519649505615234
mps-uncap,0.3,8.203268051147461,7.33637809753418,8.282184600830078
mps-uncap,0.4,8.480548858642578,6.9332122802734375,7.768154144287109
