mode,load,0_mobilenet_v3_large-4,1_mobilenet_v3_small-4,2_resnet50-8
mps-uncap,0.8,2.7463436126708984,2.35748291015625,3.835916519165039
mps-uncap,0.9,2.745389938354492,2.3992061614990234,3.8678646087646484
mps-uncap,1.0,2.73895263671875,2.315998077392578,3.861665725708008
mps-uncap,0.5,2.775907516479492,2.367258071899414,3.826141357421875
mps-uncap,0.6,2.7174949645996094,2.341032028198242,3.846883773803711
mps-uncap,0.7,2.7632713317871094,2.2885799407958984,3.85284423828125
mps-uncap,0.1,2.773761749267578,2.377033233642578,3.8361549377441406
mps-uncap,0.2,2.7747154235839844,2.379179000854492,3.8352012634277344
mps-uncap,0.3,2.742290496826172,2.336740493774414,3.835916519165039
mps-uncap,0.4,2.642393112182617,2.357006072998047,3.835916519165039
