mode,load,0_mobilenet_v2-32,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,1.0,9.5717191696167,31.492233276367188,38.43188285827637
mig,1.0,12.493515014648438,19.38045024871826,26.731061935424805
