mode,load,0_mobilenet_v2-32,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,1.0,0.002384185791015625,0.000476837158203125,0.003814697265625
mig,1.0,0.0059604644775390625,0.0057220458984375,0.008344650268554688
