mode,load,0_mobilenet_v2-32,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,1.0,19.953012466430664,41.254520416259766,47.8358268737793
mig,1.0,19.437074661254883,26.308536529541016,32.33957290649414
