mode,load,0_mobilenet_v2-32,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,1.0,10.536212921142578,32.399253845214844,39.86726999282836
mig,1.0,14.084820747375487,20.220327377319336,27.437477111816406
