mode,load,0_mobilenet_v2-32,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,1.0,7.270336151123047,25.936126708984375,22.73106575012207
mig,1.0,11.460065841674805,18.79596710205078,26.26180648803711
