mode,load,0_mobilenet_v2-32,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,1.0,3733.4828773819077,272.43136200055943,109.16888451738244
mig,1.0,2648.2837064991327,417.727247316217,150.66748073380685
