mode,load,0_mobilenet_v2-32,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,1.0,19.953012466430664,41.25475883483887,47.8360652923584
mig,1.0,19.437313079833984,26.308774948120117,32.33957290649414
