mode,load,0_mobilenet_v2-32,1_densenet169-8,2_efficientnet_b7-4
mps-uncap,1.0,10.536212921142578,32.39910125732422,39.867234230041504
mig,1.0,14.084582328796385,20.22010087966919,27.437477111816406
