mode,load,0_densenet201-16,1_inception_v3-16,2_squeezenet1_1-4
mps-uncap,0.8,13.025403022766113,6.611824035644531,0.9908676147460938
mps-uncap,0.9,31.088829040527344,20.032286643981934,2.383112907409668
mps-uncap,1.0,307.661771774292,1736.6693019866943,6.414651870727539
mps-uncap,0.5,0.056743621826171875,0.04673004150390625,0.042557716369628906
mps-uncap,0.6,0.05984306335449219,0.055789947509765625,0.0438690185546875
mps-uncap,0.7,3.7298202514648438,1.3811588287353516,0.34880638122558594
mps-uncap,0.1,0.06079673767089844,0.058650970458984375,0.04291534423828125
mps-uncap,0.2,0.057578086853027344,0.051975250244140625,0.04076957702636719
mps-uncap,0.3,0.058650970458984375,0.051856040954589844,0.041961669921875
mps-uncap,0.4,0.05793571472167969,0.049114227294921875,0.04291534423828125
