mode,load,0_densenet201-16,1_inception_v3-16,2_squeezenet1_1-4
mps-uncap,0.8,473.94069088689747,1059.1818095617261,1249.7481096239371
mps-uncap,0.9,540.2831829786086,1229.3626323856372,1378.41840346575
mps-uncap,1.0,605.3669115426994,1282.6123697868359,1552.487066309659
mps-uncap,0.5,304.30278529175155,691.387157977785,765.9524457762817
mps-uncap,0.6,346.8618582621934,807.5506886132878,925.4785392977267
mps-uncap,0.7,409.8594592038979,903.7636314559405,1066.0647053309217
mps-uncap,0.1,57.35135216581305,132.9687571829225,156.07224830006928
mps-uncap,0.2,114.00264673367666,279.7245234271317,304.34739641214014
mps-uncap,0.3,183.28538190439303,392.10571420572313,466.0011163212555
mps-uncap,0.4,235.96374797398866,506.51979582680144,620.3465828867252
